Variáveis,en-US
pageTitle,CongTool - English
loginTitle,LOG IN
inputUsername,User Name
inputPwd,Password
msgEmailPwdInvalid,Invalid e-mail or password
msgFieldRequired,Field is required
msgForgotPwd,Forgot your password?
buttonEnter,LOG IN
accessTitle,HAVING ACCESS TO CONGTOOL:
accessText,"If you want to use our designation system for the notice board with the new meeting format, feel free to create your account in a very simple way."
buttonTest,TRY NOW
langEnglish,English (US)
langPortuguese,Portuguese (BR)
langSpanish,Spanish (ES)
needHelp,Do you need help?
forgotPwdTitle,FORGOT PASSWORD
inputEmail,E-mail
msgInvalidEmail,Invalid e-mail
buttonSubmit,SUBMIT
registerTitle,CREATE NEW ACCOUNT
inputName,Name
inputEmail,E-mail
inputEnterPwd,Enter a password
inputConfirmPwd,"Confirm password /
Retype password"
msgFieldRequired,Field is required
msgInvalidEmail,Invalid e-mail
msgPwdInvalid,Passwords should be at least 6 characters long
msgPwdNotMatch,Passwords do not match
buttonRegister,CREATE ACCOUNT
haveAccount,"I already have an account, log in instead"
checkCodeTitle,CONFIRMATION CODE
checkCodeText,A code was sent to the email informed in the previous step. Enter the code you received to proceed.
inputCode,Enter the code here
msgInvalidCode,Wrong code. Try again.
buttonContinue,CONTINUE
congNameTitle,CREATE CONGREGATION ACCOUNT
congNameText,Your account is not linked to any Congregation yet. Create a new congregation account to access the assignments.
inputCongName,Congregation Name
msgFieldRequired,Field is required
buttonContinue,CONTINUE
weekDayTitle,MEETING DAYS
weekDay1,MON
weekDay2,TUE
weekDay3,WED
weekDay4,THU
weekDay5,FRI
weekDay6,SAT
weekDay7,SUN
selectWeedDay01,Monday
selectWeedDay02,Tuesday
selectWeedDay03,Wednesday
selectWeedDay04,Thursday
selectWeedDay05,Friday
selectWeedDay06,Saturday
selectWeedDay07,Sunday
meetingMidweek,Our Christian Life and Ministry
meetingWeekend,Public Meeting
buttonSave,SAVE
userGreeting,"Hello, <name>"
userEdit,Edit
userQuit,Log out
tabMeeting1,Life and Ministry
tabMeeting2,Public Meeting
meetingMonth1,January
meetingMonth2,February
meetingMonth3,March
meetingMonth4,April
meetingMonth5,May
meetingMonth6,June
meetingMonth7,July
meetingMonth8,August
meetingMonth9,September
meetingMonth10,October
meetingMonth11,November
meetingMonth12,December
selectPeriod,SELECT THE PERIOD
selectMonth1,JAN
selectMonth2,FEB
selectMonth3,MAR
selectMonth4,APR
selectMonth5,MAY
selectMonth6,JUN
selectMonth7,JUL
selectMonth8,AUG
selectMonth9,SEP
selectMonth10,OCT
selectMonth11,NOV
selectMonth12,DEC
buttonSaveBig,SAVE
msgNoSchedule,There is no schedule for the requested period. Select a date from <01.20.16>
msgNoAccess,You do not have permission to access. Contact your account administrator.
menuTable,Assignments Table
menuPeople,People and Assignments
menuPermition,Permitions
menuPrint,Impressions
menuCong,Congregations
tabTable,ASSIGNMENTS TABLE
tabPeople,PEOPLE AND ASSIGNMENTS
tabPermition,PERMITIONS
tabPrint,IMPRESSIONS
inputSearch,Search or add people
searchText,Find or add people in the field above and select them in the list and match the activities which every person will participate.
buttonAdd,Add: <name>
buttonSaveSmall,Save
buttonExclude,Remove
listRefTitle,REFERENCE
listStudentM,Student (brothers)
listStudentF,Student (sisters)
listBaptized,Baptized
listResp,Responsible
listAssignTitle,ASSIGNMENTS
listAttendant,Attendant
listMicrophone,Microphone
listPray,Prayers
ListRead,Bible Reading
listVideo,Prepare This Month's Presentations (video)
