Variáveis,es-ES
pageTitle,CongTool - Español
loginTitle,INICIAR SESIÓN
inputUsername,Nombre de usuario
inputPwd,Contraseña
msgEmailPwdInvalid,La entrada es inválida
msgFieldRequired,Este campo es obligatorio
msgForgotPwd,¿Ha olvidado su contraseña?
buttonEnter,INICIAR SESIÓN
accessTitle,TENER ACCESO A CONGTOOL:
accessText,"Si desea utilizar nuestro sistema de designaciones para el tablero de anuncios ya con el nuevo formato de reunión, siéntase libre para crear su cuenta de forma muy sencilla."
buttonTest,PROBAR AHORA
langEnglish,Inglés (US)
langPortuguese,Portugués (BR)
langSpanish,Español (ES)
needHelp,¿Necesita ayuda?
forgotPwdTitle,NO RECURERDA CONTRASEÑA
inputEmail,Correo electrónico
msgInvalidEmail,El correo electrónico es inválido
buttonSubmit,ENVIAR
registerTitle,CREAR UNA CUENTA
inputName,Nombre
inputEmail,Correo electrónico
inputEnterPwd,Introducir una contraseña
inputConfirmPwd,"Introduzca de nuevo la contraseña /
Reescriba la contraseña"
msgFieldRequired,Este campo es obligatorio
msgInvalidEmail,El correo electrónico es inválido
msgPwdInvalid,Las contraseñas deben tener por lo menos 6 caracteres
msgPwdNotMatch,Las contraseñas no coinciden
buttonRegister,CREAR CUENTA
haveAccount,"Ya tengo una cuenta, iniciar la sesión"
checkCodeTitle,CÓDIGO DE CONFIRMACIÓN
checkCodeText,Un código fue enviado al correo electrónico informado en el paso anterior. Introduzca el código que ha recibido para continuar.
inputCode,Introduzca el código aquí
msgInvalidCode,El código es incorrecto. Inténtalo de nuevo.
buttonContinue,CONTINUAR
congNameTitle,CREAR CUENTA DE CONGREGACIÓN
congNameText,Su cuenta no está vinculada a ninguna Congregación todavía. Crear una nueva cuenta de la congregación para acceder a las asignaciones.
inputCongName,Nombre de la Congregación
msgFieldRequired,Este campo es obligatorio
buttonContinue,CONTINUAR
weekDayTitle,DÍAS DE REUNIÓN
weekDay1,LUN
weekDay2,MAR
weekDay3,MIÉ
weekDay4,JUE
weekDay5,VIE
weekDay6,SÁB
weekDay7,DOM
selectWeedDay01,Lunes
selectWeedDay02,Martes
selectWeedDay03,Miércoles
selectWeedDay04,Jueves
selectWeedDay05,Viernes
selectWeedDay06,Sábado
selectWeedDay07,Domingo
meetingMidweek,Vida y Ministerio Cristianos
meetingWeekend,Reunión Pública
buttonSave,GUARDAR
userGreeting,"Holla, <nombre>"
userEdit,Editar
userQuit,Cerrar sesión
tabMeeting1,Vida y Ministerio
tabMeeting2,Reunión Pública
meetingMonth1,Enero
meetingMonth2,Febrero
meetingMonth3,Marzo
meetingMonth4,Abril
meetingMonth5,Mayo
meetingMonth6,Junio
meetingMonth7,Julio
meetingMonth8,Agosto
meetingMonth9,Septiembre
meetingMonth10,Octubre
meetingMonth11,Noviembre
meetingMonth12,Diciembre
selectPeriod,SELECCIONE EL PERÍODO
selectMonth1,ENE
selectMonth2,FEB
selectMonth3,MAR
selectMonth4,ABR
selectMonth5,MAY
selectMonth6,JUN
selectMonth7,JUL
selectMonth8,AGO
selectMonth9,SEP
selectMonth10,OCT
selectMonth11,NOV
selectMonth12,DIC
buttonSaveBig,GUARDAR
msgNoSchedule,No hay horario para el período solicitado. Seleccione una fecha del <01/20/16>
msgNoAccess,Usted no tiene permiso para acceder. Póngase en contacto con administrador de la cuenta.
menuTable,Tabla de Asignaciones
menuPeople,Personas y Asignaciones
menuPermition,Permisos
menuPrint,Impresiones
menuCong,Congregaciones
tabTable,TABLA DE ASIGNACIONES
tabPeople,PERSONAS Y ASIGNACIONES
tabPermition,PERMISOS
tabPrint,IMPRECIONES
inputSearch,Buscar o agregar personas
searchText,"Buscar o agregar personas en el campo de arriba. A continuación, seleccione en la lista y combinar las actividades que cada persona va a participar."
buttonAdd,Agrega: <nombre>
buttonSaveSmall,Guardar
buttonExclude,Eliminar
listRefTitle,REFERENCIA
listStudentM,Estudiante (hermanos)
listStudentF,Estudiante (hermanas)
listBaptized,Bautizado
listResp,Encargado
listAssignTitle,ASIGNACIONES
listAttendant,Acomodador
listMicrophone,Micrófono
