Variáveis,pt-BR
pageTitle,CongTool - Português
loginTitle,LOGIN
inputUsername,Nome de usuário
inputPwd,Senha
msgEmailPwdInvalid,E-mail ou senha inválido
msgFieldRequired,Campo obrigatório
msgForgotPwd,Esqueceu sua senha?
buttonEnter,ENTRAR
accessTitle,PARA TER ACESSO AO CONGTOOL:
accessText,"Se você deseja usar nosso sistema de designações para o quadro de anúncios já com o novo formato de Reuniões, fique à vontade para criar sua conta de uma forma bem simples."
buttonTest,TESTAR AGORA
langEnglish,Inglês (US)
langPortuguese,Português (BR)
langSpanish,Espanhol (ES)
needHelp,Precisa de ajuda?
forgotPwdTitle,ESQUECEU SENHA
inputEmail,E-mail
msgInvalidEmail,E-mail inválido
buttonSubmit,ENVIAR
registerTitle,CRIAR NOVA CONTA
inputName,Nome
inputEmail,E-mail
inputEnterPwd,Informe uma senha
inputConfirmPwd,"Confirme sua senha / 
Digite a senha novamente"
msgFieldRequired,Campo obrigatório
msgInvalidEmail,E-mail inválido
msgPwdInvalid,A senha deve ter pelo menos 6 caracteres
msgPwdNotMatch,As senhas não são iguais
buttonRegister,CRIAR CONTA
haveAccount,"Eu já tenho uma conta, quero entrar"
checkCodeTitle,CÓDIGO DE CONFIRMAÇÃO
checkCodeText,Um código foi enviado para o e-mail informado na etapa anterior. Insira o código recebido no campo abaixo para prosseguir.
inputCode,Informe o código aqui
msgInvalidCode,Código incorreto. Tente novamente.
buttonContinue,PROSSEGUIR
congNameTitle,CRIAR CONTA DE CONGREGAÇÃO
congNameText,Sua conta não está vinculada a nenhuma Congregação ainda. Crie uma nova conta de congregação para ter acesso às designações.
inputCongName,Nome da Congregação
msgFieldRequired,Campo obrigatório
buttonContinue,PROSSEGUIR
weekDayTitle,DIAS DE REUNIÃO
weekDay1,SEG
weekDay2,TER
weekDay3,QUA
weekDay4,QUI
weekDay5,SEX
weekDay6,SÁB
weekDay7,DOM
selectWeedDay01,Segunda
selectWeedDay02,Terça
selectWeedDay03,Quarta
selectWeedDay04,Quinta
selectWeedDay05,Sexta
selectWeedDay06,Sábado
selectWeedDay07,Domingo
meetingMidweek,Nossa Vida e Ministério Cristão
meetingWeekend,Reunião Pública
buttonSave,SALVAR
userGreeting,"Olá, <nome>"
userEdit,Editar
userQuit,Sair
tabMeeting1,Vida e Ministério
tabMeeting2,Reunião Pública
meetingMonth1,Janeiro
meetingMonth2,Fevereiro
meetingMonth3,Março
meetingMonth4,Abril
meetingMonth5,Maio
meetingMonth6,Junho
meetingMonth7,Julho
meetingMonth8,Agosto
meetingMonth9,Setembro
meetingMonth10,Outubro
meetingMonth11,Novembro
meetingMonth12,Dezembro
selectPeriod,SELECIONE O PERÍODO
selectMonth1,JAN
selectMonth2,FEV
selectMonth3,MAR
selectMonth4,ABR
selectMonth5,MAI
selectMonth6,JUN
selectMonth7,JUL
selectMonth8,AGO
selectMonth9,SET
selectMonth10,OUT
selectMonth11,NOV
selectMonth12,DEZ
buttonSaveBig,SALVAR
msgNoSchedule,Não há nenhuma programação para o periodo solicitado. Selecione uma data a partir de <20/01/16>
msgNoAccess,Você não possui permissão de acesso. Contate o administrador da conta.
menuTable,Tabela de Designações
menuPeople,Pessoas e Designações
menuPermition,Permissões
menuPrint,Impressões
menuCong,Congregações
